TIME(s)	'pip2,ap2'	'ap2,clat'	'clat,clat'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
5.61	161	1	11	0	0	0	0	0	0	0	1432
5.625	159	1	10	0	0	0	0	0	0	0	1438
5.64	160	1	10	0	0	0	0	0	0	0	1441
5.655	162	1	10	0	0	0	0	0	0	0	1448
5.67	163	1	10	0	0	0	0	0	0	0	1450
5.685	164	1	10	0	0	0	0	0	0	0	1455
5.7	163	1	11	0	0	0	0	0	0	0	1459
5.715	161	1	12	0	0	0	0	0	0	0	1461
5.73	161	1	12	0	0	0	0	0	0	0	1462
5.745	161	1	12	0	0	0	0	0	0	0	1467
5.76	163	1	12	0	0	0	0	0	0	0	1473
5.775	161	1	11	0	0	0	0	0	0	0	1476
5.79	160	1	8	0	0	0	0	0	0	0	1478
5.805	161	1	8	0	0	0	0	0	0	0	1481
5.82	163	1	6	0	0	0	0	0	0	0	1485
5.835	164	1	8	0	0	0	0	0	0	0	1489
5.85	163	1	7	0	0	0	0	0	0	0	1489
5.865	160	1	7	0	0	0	0	0	0	0	1490
5.88	162	1	6	0	0	0	0	0	0	0	1495
5.895	162	1	6	0	0	0	0	0	0	0	1497
5.91	161	1	5	0	0	0	0	0	0	0	1500
5.925	164	1	6	0	0	0	0	0	0	0	1506
5.94	164	1	4	0	0	0	0	0	0	0	1509
5.955	165	1	3	0	0	0	0	0	0	0	1512
5.97	165	1	7	0	0	0	0	0	0	0	1518
5.985	163	1	5	0	0	0	0	0	0	0	1519
6	165	1	5	0	0	0	0	0	0	0	1523
6.015	165	1	4	0	0	0	0	0	0	0	1526
6.03	163	1	4	0	0	0	0	0	0	0	1528
6.045	161	1	6	0	0	0	0	0	0	0	1532
6.06	162	1	8	0	0	0	0	0	0	0	1539
6.075	161	1	4	0	0	0	0	0	0	0	1540
6.09	162	1	5	0	0	0	0	0	0	0	1544
6.105	161	1	4	0	0	0	0	0	0	0	1550
6.12	160	1	6	0	0	0	0	0	0	0	1554
6.135	161	1	7	0	0	0	0	0	0	0	1561
6.15	160	1	8	0	0	0	0	0	0	0	1566
6.165	160	1	9	0	0	0	0	0	0	0	1569
6.18	161	1	8	0	0	0	0	0	0	0	1577
6.195	161	1	8	0	0	0	0	0	0	0	1580
6.21	159	1	9	0	0	0	0	0	0	0	1583
6.225	162	1	8	0	0	0	0	0	0	0	1589
6.24	160	1	7	0	0	0	0	0	0	0	1591
6.255	158	1	8	0	0	0	0	0	0	0	1599
6.27	157	1	8	0	0	0	0	0	0	0	1601
6.285	158	1	9	0	0	0	0	0	0	0	1605
6.3	154	1	8	0	0	0	0	0	0	0	1609
6.315	156	1	8	0	0	0	0	0	0	0	1614
6.33	157	1	7	0	0	0	0	0	0	0	1620
6.345	158	1	7	0	0	0	0	0	0	0	1623
6.36	161	1	10	0	0	0	0	0	0	0	1630
6.375	161	1	9	0	0	0	0	0	0	0	1633
6.39	162	1	9	0	0	0	0	0	0	0	1635
6.405	161	1	8	0	0	0	0	0	0	0	1638
6.42	162	1	7	0	0	0	0	0	0	0	1640
6.435	161	1	8	0	0	0	0	0	0	0	1642
6.45	161	1	9	0	0	0	0	0	0	0	1645
6.465	162	1	13	0	0	0	0	0	0	0	1650
6.48	159	1	11	0	0	0	0	0	0	0	1651
6.495	161	1	11	0	0	0	0	0	0	0	1654
6.51	162	1	13	0	0	0	0	0	0	0	1659
6.525	161	1	12	0	0	0	0	0	0	0	1663
6.54	161	1	11	0	0	0	0	0	0	0	1665
