TIME(s)	'A,A'	'A,B'	'B,B'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.366	108	185	112	226	288	2	0	0	0	0	182
0.367	108	185	112	226	288	2	0	0	0	0	182
0.368	108	185	112	226	289	2	0	0	0	0	182
0.369	108	185	112	226	292	2	0	0	0	0	182
0.37	108	185	112	226	293	2	0	0	0	0	182
0.371	108	185	112	226	293	2	0	0	0	0	182
0.372	108	185	112	226	294	2	0	0	0	0	182
0.373	108	185	112	226	294	2	0	0	0	0	182
0.374	108	185	112	226	294	2	0	0	0	0	182
0.375	108	185	112	226	294	2	0	0	0	0	182
0.376	108	185	112	226	295	2	0	0	0	0	182
0.377	108	185	112	226	295	2	0	0	0	0	182
0.378	108	185	112	226	295	2	0	0	0	0	182
0.379	108	185	112	226	295	2	0	0	0	0	182
0.38	108	185	112	226	295	2	0	0	0	0	182
0.381	108	185	112	226	296	2	0	0	0	0	182
0.382	108	185	112	226	296	2	0	0	0	0	182
0.383	108	185	112	226	297	2	0	0	0	0	182
0.384	108	185	112	226	297	2	0	0	0	0	182
0.385	108	185	112	226	298	2	0	0	0	0	182
0.386	108	185	112	226	299	2	0	0	0	0	182
0.387	108	185	112	226	299	2	0	0	0	0	182
0.388	108	185	112	226	299	2	0	0	0	0	182
0.389	108	185	112	226	299	2	0	0	0	0	182
0.39	108	185	112	226	299	2	0	0	0	0	182
0.391	108	185	112	226	299	2	0	0	0	0	182
0.392	108	185	112	226	299	2	0	0	0	0	182
0.393	108	185	112	226	299	2	0	0	0	0	182
0.394	108	185	112	226	299	2	0	0	0	0	182
0.395	108	185	112	226	299	2	0	0	0	0	182
0.396	108	185	112	226	299	2	0	0	0	0	182
0.397	108	185	112	226	300	2	0	0	0	0	182
0.398	108	185	112	226	300	2	0	0	0	0	182
0.399	108	185	112	226	300	2	0	0	0	0	182
0.4	108	185	112	226	300	2	0	0	0	0	182
0.401	108	185	112	226	300	2	0	0	0	0	182
