Time (s),ap2Mem,leg
17.265,169,12
17.28,167,11
17.295,164,13
17.31,161,10
17.325,158,8
17.34,157,9
17.355,158,7
17.37,158,7
17.385,158,6
17.4,160,10
17.415,157,12
17.43,158,13
17.445,160,13
17.46,159,11
17.475,162,12
17.49,162,14
17.505,158,13
17.52,156,14
17.535,158,13
17.55,154,14
17.565,154,15
17.58,156,15
17.595,153,13
17.61,153,13
17.625,154,12
17.64,155,12
17.655,156,14
17.67,155,13
17.685,156,13
17.7,156,13
17.715,160,13
17.73,162,13
17.745,165,14
17.76,165,13
17.775,166,14
17.79,165,15
17.805,164,16
17.82,164,14
17.835,166,16
17.85,169,13
17.865,169,13
17.88,167,13
17.895,168,10
17.91,165,11
17.925,163,11
17.94,162,11
17.955,163,13
17.97,158,12
17.985,159,12
18,160,11
18.015,158,13
18.03,157,14
18.045,160,15
18.06,162,13
18.075,163,13
18.09,163,12
18.105,163,11
18.12,160,11
18.135,162,12
18.15,162,12
18.165,160,12
18.18,163,10
18.195,161,8
18.21,160,13
18.225,158,13
18.24,156,11
18.255,157,13
18.27,156,16
18.285,157,16
18.3,156,16
18.315,154,19
18.33,154,14
18.345,154,13
18.36,154,14
18.375,151,15
18.39,151,18
18.405,152,18
18.42,153,15
18.435,154,13
18.45,154,16
18.465,156,14
18.48,158,14
18.495,158,15
18.51,159,15
18.525,159,12
18.54,158,10
18.555,157,11
18.57,158,10
18.585,161,9
18.6,162,9
18.615,161,10
18.63,160,11
18.645,160,11
18.66,159,9
18.675,160,10
18.69,163,10
18.705,159,12
18.72,160,12
18.735,162,12
18.75,160,14
18.765,166,12
18.78,165,13
18.795,164,13
18.81,162,10
18.825,165,11
18.84,166,12
18.855,166,14
18.87,164,11
18.885,165,11
18.9,162,11
18.915,162,11
18.93,162,8
18.945,164,9
18.96,164,9
18.975,164,10
18.99,164,10
19.005,164,11
19.02,163,9
19.035,160,8
19.05,161,8
19.065,162,7
19.08,163,8
19.095,163,8
19.11,163,11
19.125,163,12
19.14,164,12
19.155,163,11
19.17,163,12
19.185,163,13
19.2,158,13
19.215,156,11
19.23,159,11
19.245,157,13
19.26,158,12
19.275,156,9
19.29,156,7
19.305,156,7
19.32,157,8
19.335,157,11
19.35,158,10
19.365,157,10
19.38,155,9
19.395,158,9
19.41,158,11
19.425,158,11
19.44,159,12
19.455,159,10
19.47,161,9
19.485,163,12
19.5,165,9
19.515,162,5
19.53,162,5
19.545,157,5
19.56,154,8
19.575,154,6
19.59,153,7
19.605,157,8
19.62,157,7
19.635,156,9
19.65,156,7
19.665,156,8
19.68,156,7
19.695,158,8
19.71,158,9
19.725,158,8
19.74,157,7
19.755,160,8
19.77,159,10
19.785,163,10
19.8,161,9
19.815,159,11
19.83,158,11
19.845,159,13
19.86,159,10
19.875,157,8
19.89,155,8
19.905,157,8
19.92,153,7
19.935,151,6
19.95,152,5
19.965,155,9
19.98,153,9
19.995,153,9
20.01,157,7
20.025,159,6
20.04,159,6
20.055,157,6
20.07,156,7
20.085,156,8
20.1,158,9
20.115,156,7
20.13,161,6
20.145,165,6
20.16,163,7
20.175,163,10
20.19,161,9
20.205,159,8
